class_uri,class_curie,class_label,predicate_uri,predicate_curie,predicate_label,count
https://w3id.org/polifonia/ontology/music-meta/MusicEnsembleMembership,mm:MusicEnsembleMembership,mm:MusicEnsembleMembership,https://w3id.org/polifonia/ontology/core/involvesRole,core:involvesRole,core:involvesRole,330
https://w3id.org/polifonia/ontology/music-meta/MusicEntity,mm:MusicEntity,mm:MusicEntity,https://w3id.org/polifonia/ontology/music-meta/hasRecording,mm:hasRecording,mm:hasRecording,308
https://w3id.org/polifonia/ontology/music-meta/Recording,mm:Recording,mm:Recording,https://w3id.org/polifonia/ontology/music-meta/onRelease,mm:onRelease,mm:onRelease,300
https://w3id.org/polifonia/ontology/music-meta/Release,mm:Release,mm:Release,http://schema.org/name,schema:name,schema:name,300
https://w3id.org/polifonia/ontology/music-meta/Release,mm:Release,mm:Release,http://www.w3.org/2002/07/owl#sameAs,owl:sameAs,owl:sameAs,300
https://w3id.org/polifonia/ontology/core/TimeInterval,core:TimeInterval,core:TimeInterval,https://w3id.org/polifonia/ontology/core/endTime,core:endTime,core:endTime,292
https://w3id.org/polifonia/ontology/music-meta/MusicEnsembleMembership,mm:MusicEnsembleMembership,mm:MusicEnsembleMembership,http://schema.org/endDate,schema:endDate,schema:endDate,292
https://w3id.org/polifonia/ontology/music-meta/Recording,mm:Recording,mm:Recording,http://schema.org/duration,schema:duration,schema:duration,291
https://w3id.org/polifonia/ontology/music-meta/Recording,mm:Recording,mm:Recording,http://www.w3.org/2002/07/owl#sameAs,owl:sameAs,owl:sameAs,291
https://w3id.org/polifonia/ontology/music-meta/MusicEnsembleMembership,mm:MusicEnsembleMembership,mm:MusicEnsembleMembership,http://schema.org/roleName,schema:roleName,schema:roleName,247
https://w3id.org/polifonia/ontology/music-meta/MusicEntity,mm:MusicEntity,mm:MusicEntity,http://schema.org/name,schema:name,schema:name,243
https://w3id.org/polifonia/ontology/music-meta/MusicEntity,mm:MusicEntity,mm:MusicEntity,http://www.w3.org/2000/01/rdf-schema#label,rdfs:label,rdfs:label,243
http://schema.org/ItemList,schema:ItemList,schema:ItemList,http://schema.org/itemListElement,schema:itemListElement,schema:itemListElement,239
http://schema.org/ListItem,schema:ListItem,schema:ListItem,http://schema.org/item,schema:item,schema:item,239
http://schema.org/ListItem,schema:ListItem,schema:ListItem,http://schema.org/position,schema:position,schema:position,239
https://w3id.org/polifonia/ontology/music-meta/MusicEntity,mm:MusicEntity,mm:MusicEntity,http://www.w3.org/2002/07/owl#sameAs,owl:sameAs,owl:sameAs,197
https://w3id.org/polifonia/ontology/music-meta/MusicGenre,mm:MusicGenre,mm:MusicGenre,http://www.w3.org/2002/07/owl#sameAs,owl:sameAs,owl:sameAs,170
https://w3id.org/polifonia/ontology/music-meta/LivePerformance,mm:LivePerformance,mm:LivePerformance,http://wembrewind.live/ex#recordedAs,ex:recordedAs,ex:recordedAs,169
https://w3id.org/polifonia/ontology/music-meta/LivePerformance,mm:LivePerformance,mm:LivePerformance,http://wembrewind.live/ex#songPerformed,ex:songPerformed,ex:songPerformed,167
http://schema.org/MusicGroup,schema:MusicGroup,schema:MusicGroup,https://w3id.org/polifonia/ontology/music-meta/hasGenre,mm:hasGenre,mm:hasGenre,156
https://w3id.org/polifonia/ontology/music-meta/MusicArtist,mm:MusicArtist,mm:MusicArtist,https://w3id.org/polifonia/ontology/music-meta/hasGenre,mm:hasGenre,mm:hasGenre,156
https://w3id.org/polifonia/ontology/music-meta/MusicEntity,mm:MusicEntity,mm:MusicEntity,http://schema.org/description,schema:description,schema:description,135
http://schema.org/ItemList,schema:ItemList,schema:ItemList,http://schema.org/name,schema:name,schema:name,132
http://schema.org/Person,schema:Person,schema:Person,https://w3id.org/polifonia/ontology/music-meta/hasGenre,mm:hasGenre,mm:hasGenre,121
https://w3id.org/polifonia/ontology/music-meta/Musician,mm:Musician,mm:Musician,https://w3id.org/polifonia/ontology/music-meta/hasGenre,mm:hasGenre,mm:hasGenre,121
http://schema.org/Person,schema:Person,schema:Person,http://schema.org/sameAs,schema:sameAs,schema:sameAs,106
https://w3id.org/polifonia/ontology/music-meta/Musician,mm:Musician,mm:Musician,http://schema.org/sameAs,schema:sameAs,schema:sameAs,106
http://schema.org/PropertyValue,schema:PropertyValue,schema:PropertyValue,http://schema.org/propertyID,schema:propertyID,schema:propertyID,99
http://schema.org/PropertyValue,schema:PropertyValue,schema:PropertyValue,http://schema.org/value,schema:value,schema:value,99
https://w3id.org/polifonia/ontology/music-meta/MusicGenre,mm:MusicGenre,mm:MusicGenre,http://schema.org/name,schema:name,schema:name,85
https://w3id.org/polifonia/ontology/music-meta/MusicGenre,mm:MusicGenre,mm:MusicGenre,http://www.w3.org/2000/01/rdf-schema#label,rdfs:label,rdfs:label,85
http://schema.org/MusicGroup,schema:MusicGroup,schema:MusicGroup,http://schema.org/sameAs,schema:sameAs,schema:sameAs,81
